ERR1193747	ERR1633780	0
ERR1367634	ERR1465793	0
ERR1367652	ERR1465792	0
SRR3205958	SRR5114019	0
SRR3205958	SRR3205959	4.09
SRR3205958	SRR5114017	6.13
SRR3205958	SRR5114020	8.18
SRR3205958	SRR5114021	7.16
SRR3205958	SRR5114022	7.16
SRR5114019	SRR3205959	4.09
SRR5114019	SRR5114017	6.13
SRR5114019	SRR5114020	8.18
SRR5114019	SRR5114021	7.16
SRR5114019	SRR5114022	7.16
ERR1161623	ERR1161624	3.04
ERR1161623	X5887.13_lib3038_miseq_r0131_301bp	10.31
ERR1161623	X6764.13_lib3077_miseq_r0131_301bp	9.27
ERR1161624	X5887.13_lib3038_miseq_r0131_301bp	12.37
ERR1161624	X6764.13_lib3077_miseq_r0131_301bp	11.32
ERR1193862	X8565.12_lib1482_miseq_r0082_251bp	0
ERR1193881	ERR1873435	9.23
ERR1193900	ERR1193903	11.17
ERR1227527	ERR1227529	12.13
ERR1227527	ERR1815554	8.12
ERR1227528	ERR1664621	9.27
ERR1227529	ERR1227530	3.04
ERR1227529	ERR1815554	11.17
ERR1227530	ERR1815554	9.14
ERR1367667	SRR5184975	10.2
ERR1367667	SRR5184981	3.06
ERR1367667	SRR5184982	6.12
ERR1367667	SRR5184983	1.02
ERR1465931	SRR5153077	11.22
ERR1544431	ERR1544432	0
ERR1544431	ERR1544435	5.06
ERR1544431	ERR1544436	5.05
ERR1544431	ERR1544437	1.01
ERR1544431	ERR1544438	4.04
ERR1544431	ERR1544439	4.04
ERR1544431	ERR1544440	4.04
ERR1544431	ERR1544441	4.05
ERR1544432	ERR1544435	5.05
ERR1544432	ERR1544436	5.05
ERR1544432	ERR1544437	2.03
ERR1544432	ERR1544438	4.05
ERR1544432	ERR1544439	4.05
ERR1544432	ERR1544440	5.05
ERR1544432	ERR1544441	4.06
ERR1544435	ERR1544436	1.01
ERR1544435	ERR1544437	6.1
ERR1544435	ERR1544438	2.03
ERR1544435	ERR1544439	1.01
ERR1544435	ERR1544440	2.02
ERR1544435	ERR1544441	1.02
ERR1544436	ERR1544437	6.09
ERR1544436	ERR1544438	2.03
ERR1544436	ERR1544439	1.01
ERR1544436	ERR1544440	1.01
ERR1544436	ERR1544441	1.02
ERR1544437	ERR1544438	6.07
ERR1544437	ERR1544439	6.07
ERR1544437	ERR1544440	4.06
ERR1544437	ERR1544441	5.04
ERR1544438	ERR1544439	1.01
ERR1544438	ERR1544440	2.02
ERR1544438	ERR1544441	2.02
ERR1544439	ERR1544440	1.01
ERR1544439	ERR1544441	0
ERR1544440	ERR1544441	2.03
ERR1555041	ERR1555053	0
ERR1555043	ERR1555045	6.05
ERR1555043	ERR1555054	1.01
ERR1555045	ERR1555054	0
ERR1555047	ERR1555048	0
ERR1555049	ERR1555056	2.02
ERR1555058	ERR1555059	2.02
ERR1555058	ERR1555062	11.13
ERR1633796	ERR1873395	11.28
ERR1633796	ERR1873468	11.35
ERR1633796	ERR1873480	11.22
ERR1633796	ERR1873490	12.37
ERR1633796	ERR1873536	9.12
ERR1633796	ERR1873538	10.2
ERR1633819	ERR1873522	2.05
ERR1633956	ERR1633964	5.06
ERR1633956	ERR1873403	10.58
ERR1633956	ERR1873412	12.4
ERR1633956	ERR1873416	11.32
ERR1633956	ERR1873423	4.23
ERR1633956	ERR1873431	10.31
ERR1633956	ERR1873450	12.21
ERR1633956	ERR1873455	12.45
ERR1633956	ERR1873471	3.12
ERR1633956	ERR1873481	11.34
ERR1633964	ERR1873403	9.51
ERR1633964	ERR1873412	11.36
ERR1633964	ERR1873415	12.4
ERR1633964	ERR1873416	10.27
ERR1633964	ERR1873423	7.4
ERR1633964	ERR1873431	9.26
ERR1633964	ERR1873450	11.19
ERR1633964	ERR1873455	11.4
ERR1633964	ERR1873457	12.41
ERR1633964	ERR1873471	6.22
ERR1633964	ERR1873478	12.34
ERR1633964	ERR1873481	10.29
ERR1633964	ERR1873537	12.3
ERR1664619	ERR1664641	7.19
ERR1664619	ERR1664644	0
ERR1664619	ERR1664651	7.14
ERR1664619	ERR1664654	1.02
ERR1664619	ERR1664661	7.16
ERR1664620	ERR1664645	1.02
ERR1664620	ERR1664655	0
ERR1664621	ERR1664635	10.17
ERR1664621	ERR1664636	9.19
ERR1664621	ERR1664637	10.21
ERR1664621	ERR1664638	9.19
ERR1664621	ERR1664639	9.19
ERR1664621	ERR1664640	10.22
ERR1664621	ERR1664642	5.1
ERR1664621	ERR1664646	0
ERR1664621	ERR1664650	9.14
ERR1664621	ERR1664652	5.08
ERR1664621	ERR1664660	12.29
ERR1664621	ERR1664662	5.08
ERR1664621	ERR1815555	12.31
ERR1664622	ERR1664647	0
ERR1664622	ERR1664657	0
ERR1664623	ERR1664624	0
ERR1664623	ERR1664625	0
ERR1664623	ERR1664626	0
ERR1664623	ERR1664627	0
ERR1664623	ERR1664628	0
ERR1664623	ERR1664648	0
ERR1664623	ERR1664658	0
ERR1664624	ERR1664625	0
ERR1664624	ERR1664626	0
ERR1664624	ERR1664627	0
ERR1664624	ERR1664628	0
ERR1664624	ERR1664648	0
ERR1664624	ERR1664658	0
ERR1664625	ERR1664626	0
ERR1664625	ERR1664627	0
ERR1664625	ERR1664628	0
ERR1664625	ERR1664648	0
ERR1664625	ERR1664658	0
ERR1664626	ERR1664627	0
ERR1664626	ERR1664628	0
ERR1664626	ERR1664648	0
ERR1664626	ERR1664658	0
ERR1664627	ERR1664628	1.02
ERR1664627	ERR1664648	0
ERR1664627	ERR1664658	0
ERR1664628	ERR1664648	0
ERR1664628	ERR1664658	0
ERR1664629	ERR1664630	0
ERR1664629	ERR1664631	1.02
ERR1664629	ERR1664632	0
ERR1664629	ERR1664633	1.02
ERR1664629	ERR1664634	0
ERR1664629	ERR1664641	10.23
ERR1664629	ERR1664649	1.02
ERR1664629	ERR1664651	10.18
ERR1664629	ERR1664659	0
ERR1664629	ERR1664661	10.18
ERR1664630	ERR1664631	1.01
ERR1664630	ERR1664632	0
ERR1664630	ERR1664633	1.01
ERR1664630	ERR1664634	0
ERR1664630	ERR1664641	10.13
ERR1664630	ERR1664649	1.02
ERR1664630	ERR1664651	10.25
ERR1664630	ERR1664659	0
ERR1664630	ERR1664661	10.19
ERR1664630	ERR1815554	9.17
ERR1664631	ERR1664632	0
ERR1664631	ERR1664633	0
ERR1664631	ERR1664634	0
ERR1664631	ERR1664641	10.13
ERR1664631	ERR1664649	2.04
ERR1664631	ERR1664651	11.28
ERR1664631	ERR1664659	1.02
